codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
901008,,0,-23.000735,-43.366146,1718581515000,0.0,,,,94295.6,46
901011,RIV8A74,46,-22.909355,-43.359257,1718585691000,52.3,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],101033.4,221
901018,,22,-22.965291,-43.391862,1718585467000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],73289.4,336
901012,,0,-22.964501,-43.3923,1718582783000,0.0,,,,83619.4, 
901014,,51,-23.002496,-43.366142,1718582875000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],101945.5,230
901007,,35,-22.973417,-43.368537,1718585695000,56.3,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],91934.6,90
901009,,51,-22.940045,-43.394834,1718585694000,59.2,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],53255.5,174
901013,,35,-23.000701,-43.36522,1718584743000,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],99151.3,86
901010,RJM8G30,22,-23.000682,-43.33225,1718585688000,52.2,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],105452.3,274
901015,,0,-23.000968,-43.364935,1718584218000,0.0,,,,98014.6, 
901047,,52,-22.970228,-43.400176,1718585682000,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],125132.0,40
901017,,52,-22.965449,-43.391758,1718585695000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],80947.6, 
901063,,51,-22.964557,-43.39217,1718416900000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],160759.0, 
902319,,0,-22.84824,-43.396326,1718445691000,0.0,,,,6474.0, 
901006,RJA9F56,52,-23.001046,-43.36499,1718580583000,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],97602.1, 
901005,RJB8E53,0,-23.000593,-43.365561,1718584571000,0.0,,,,121484.4, 
901004,RJQ8J80,0,-22.964598,-43.392189,1718582809000,0.0,,,,102232.2, 
902095,,0,-22.876333,-43.330131,1718582792000,0.0,,,,56079.1, 
902375,,0,-22.848689,-43.398081,1718259721000,0.0,,,,4.0,310
13409,KPY9733,10,-22.915786,-43.628365,1682554213000,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5, 
KXM6403 SAVEIRO,KXM6403,0,-22.957057,-43.390709,1718580547000,0.0,,,,12460.5, 
902090,,0,-22.876434,-43.330243,1718582165000,0.0,,,,63532.0, 
KRA7040 - GOL,KRA7040,0,-23.000941,-43.365266,1718583412000,0.0,,,,32670.3, 
902334,,0,-22.848758,-43.398203,1718206482000,0.0,,,,6010.2,313
LSG7008 ACELLO INFRA,LSG7008,0,-22.971625,-43.400299,1718582267000,0.0,,,,38372.4, 
KXE9191 PKP,KXE9191,0,-22.9714185,-43.4005304,1718585552000,0.0,,,,243223.524,317
901057,,51,-22.853419,-43.385344,1718585697000,17.7,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],140900.7,293
901003,RKM8C54,35,-23.000908,-43.36513,1718578841000,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],100444.8, 
902455,,0,-22.854331,-43.251682,1718584405000,0.0,,,,7394.9, 
KWB9798 - APOIO VAN,KWB9798,0,-22.854543,-43.251186,1718584587000,0.0,,,,19302.7, 
901002,,0,-23.000984,-43.366533,1718579131000,14.7,,,,81976.9,269
902313,,0,-22.847974,-43.396474,1718496058000,0.0,,,,12941.6, 
902103,,0,-22.876572,-43.329602,1718582309000,0.0,,,,61695.3, 
901001,RJD7J89,35,-22.87842,-43.336334,1718585683000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],88152.4,358
901050,,0,-22.964749,-43.391823,1718583268000,0.0,,,,97299.1, 
901077,,52,-22.879626,-43.400066,1718585534000,52.9,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],92101.2,336
903045,,17,-22.921543,-43.680096,1718585686000,28.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],33219.8,139
902119,,0,-22.876425,-43.329613,1718582472000,0.0,,,,53208.4, 
901058,,52,-22.964705,-43.391868,1718582888000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],133205.2,37
902105,,0,-22.876356,-43.330077,1718582476000,0.0,,,,57716.5, 
901071,,0,-22.964955,-43.39181,1718584750000,0.0,,,,131967.5, 
903027,,0,-22.87603,-43.329554,1717045415000,0.0,,,,136879.2, 
901066,,0,-22.964815,-43.391925,1718583447000,0.0,,,,125969.0, 
903026,,42,-22.85245,-43.312437,1718585687000,20.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],144383.5,230
903029,,0,-22.919361,-43.607909,1718584147000,0.0,,,,101630.6, 
902116,,0,-22.876359,-43.329656,1718585475000,0.0,,,,58879.7, 
902115,,0,-22.876057,-43.329396,1718584424000,0.0,,,,54749.1, 
903028,,42,-22.877442,-43.336063,1718585692000,0.0,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],131449.2,334
901061,,0,-22.964803,-43.392121,1718525684000,0.0,,,,152204.2,348
903030,,42,-22.876932,-43.329829,1717333820000,3.7,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],75643.4,128
903057,,17,-22.920533,-43.60797,1687766399000,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],12199.8, 
901051,,0,-22.96453,-43.391592,1718584165000,0.0,,,,97131.7, 
901064,,0,-22.964371,-43.391898,1718576607000,0.0,,,,150727.8,338
902107,,0,-22.876342,-43.330317,1718584067000,0.0,,,,61415.8, 
901049,,0,-23.002571,-43.365927,1718584106000,0.0,,,,39085.0, 
901073,,0,-22.964734,-43.391578,1718583989000,0.0,,,,49043.8, 
901048,,22,-23.000653,-43.36496,1718582673000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],110065.7, 
901065,,52,-22.894967,-43.39952,1718585698000,58.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],122173.5,351
903031,,14,-22.919386,-43.607889,1718416952000,0.0,,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],101886.1, 
902092,,0,-22.876376,-43.329917,1718585066000,0.0,,,,58669.5, 
903032,,0,-22.919403,-43.607406,1718584315000,0.0,,,,89849.6, 
901075,,0,-22.964782,-43.391523,1718584772000,0.0,,,,155318.2, 
903055,,17,-22.908292,-43.564606,1718585683000,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],6121.6,3
902112,,0,-22.876307,-43.329787,1718585211000,0.0,,,,58600.5, 
903037,,0,-22.919085,-43.60775,1718584013000,0.0,,,,27988.6, 
903002,,0,-22.919425,-43.607482,1718584223000,0.0,,,,24263.2, 
901080,,35,-23.000923,-43.36473,1718585384000,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],127938.2,271
902110,,0,-22.876424,-43.329468,1718585561000,0.0,,,,57897.4, 
902114,,0,-22.876382,-43.329568,1718585608000,0.0,,,,44789.3, 
902078,,0,-22.876394,-43.329837,1718585180000,0.0,,,,61295.7, 
902111,,0,-22.876335,-43.329433,1718583065000,0.0,,,,61697.0, 
902025,,0,-22.876443,-43.329848,1718582138000,0.0,,,,54706.1, 
903054,,0,-22.919053,-43.607593,1718585530000,0.0,,,,92631.9, 
903021,,42,-22.839447,-43.239809,1718583483000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],123645.2, 
903056,,17,-22.933106,-43.66092,1718585685000,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],90945.1,252
903000,,0,-22.805101,-43.342086,1718582843000,0.0,,,,123785.9, 
903058,,0,-22.919057,-43.60734,1718584300000,0.0,,,,17992.4, 
901072,,51,-22.885394,-43.400518,1718585695000,33.9,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],120607.0,9
902045,,0,-22.876285,-43.330463,1718584842000,0.0,,,,68141.2, 
903008,,0,-22.920099,-43.608228,1718582712000,0.0,,,,101580.2, 
903007,,42,-22.839864,-43.239439,1718585689000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],112126.2,140
903004,,0,-22.920385,-43.607628,1718579639000,0.0,,,,99568.6, 
903006,,14,-22.919401,-43.607876,1718410888000,0.0,,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],106791.6,198
901046,,52,-22.973189,-43.383431,1718439368000,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],115672.5,264
903005,,14,-22.919398,-43.607397,1718413521000,0.0,,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],104548.3,190
903022,,38,-23.000966,-43.365394,1718585583000,0.0,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],144673.3,268
903035,,17,-22.905472,-43.56804,1718558820000,31.5,,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],31920.9,185
901059,,0,-22.751588,-43.286827,1718582878000,0.0,,,,158976.2, 
903003,,0,-22.919433,-43.607278,1718584247000,0.0,,,,93496.9, 
901019,,35,-22.925531,-43.373782,1718585491000,36.1,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],102882.6,174
901020,,51,-23.000539,-43.368897,1718580964000,30.9,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],85571.3,155
901021,,0,-23.000845,-43.364863,1718578738000,0.0,,,,91341.7, 
901022,,0,-22.964601,-43.392262,1718582835000,0.0,,,,113373.5, 
901023,,0,-23.000714,-43.366332,1718574326000,0.0,,,,144504.5,48
901024,,51,-22.96488,-43.391847,1718583773000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],73136.0, 
901025,,0,-23.000978,-43.365213,1718584828000,0.0,,,,113773.6, 
901026,,0,-23.000926,-43.365081,1718583884000,0.0,,,,141748.7, 
901027,,51,-22.965112,-43.391655,1718583875000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],124923.3, 
901028,,22,-23.000856,-43.365709,1718585250000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],92269.8,264
903001,,14,-22.919391,-43.607883,1718410634000,0.4,,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],104474.8,203
901029,,51,-22.892437,-43.400246,1718585687000,60.6,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],107140.2,163
901030,,51,-22.964385,-43.391635,1718584387000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],84211.8, 
901031,,0,-22.964743,-43.392232,1718584449000,0.0,,,,101974.1, 
901032,,22,-22.965112,-43.391221,1718585656000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],108317.7, 
901033,,35,-22.945882,-43.371921,1718585687000,55.4,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],111912.2,351
901034,,52,-22.964697,-43.391834,1718585219000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],114348.1,352
901035,,52,-22.964731,-43.391972,1718581246000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],106886.6, 
901036,,0,-22.964844,-43.392128,1718583507000,0.0,,,,96771.6, 
901037,,35,-22.959986,-43.389374,1718585692000,0.1,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],97515.1,255
901038,,52,-23.000906,-43.368527,1718585201000,24.6,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],107334.6,164
901039,,0,-22.964771,-43.392072,1718584420000,0.0,,,,100333.3, 
901040,,0,-22.964572,-43.392083,1718582395000,0.0,,,,106216.2, 
901041,,35,-22.964519,-43.391894,1718582518000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],100402.3,344
901042,,51,-22.964451,-43.391782,1718583580000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],103242.3, 
901043,,0,-22.964568,-43.391628,1718585220000,0.0,,,,89862.1, 
901054,,0,-23.000736,-43.365432,1718584505000,0.0,,,,70050.9, 
903009,,42,-22.83958,-43.239745,1718574781000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],140448.1,143
903010,,0,-22.877589,-43.330454,1711990765000,0.0,,,,25849.8, 
903011,,42,-22.813391,-43.246563,1718585698000,25.9,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],144171.2,204
