codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
901008,,51,-22.948337,-43.391153,1737420879000,59.7,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],143525.8,124,1.0
901011,RIV8A74,22,-23.001023,-43.36547,1737420886000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],152854.0,244,1.0
901018,,51,-22.965139,-43.391287,1737419522000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],124667.5,66,0.0
901012,,51,-22.964432,-43.391748,1737417528000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],127992.0, ,0.0
901014,,22,-23.00082,-43.36448,1737417255000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],153126.0, ,0.0
901007,,22,-22.96519,-43.39172,1737416477000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],146183.3,153,0.0
901009,,51,-23.00863,-43.439702,1737420698000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],108931.6,76,0.0
901013,,22,-22.965418,-43.391117,1737420889000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],145856.6, ,1.0
901010,RJM8G30,52,-22.87432,-43.406716,1737420888000,59.8,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],159597.7,142,1.0
901015,,35,-22.922948,-43.373432,1737420881000,25.4,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],157065.5,67,1.0
901047,,51,-22.965799,-43.39137,1737419688000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],30047.8, ,0.0
901017,,53,-22.965375,-43.391592,1737411850000,0.0,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],129117.6,263,0.0
901063,,35,-22.964179,-43.391745,1737167059000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],222043.9, ,1.0
902319,,51,-22.849196,-43.397994,1737419524000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],5575.5, ,0.0
901006,RJA9F56,22,-22.965185,-43.391793,1737414169000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],147963.1,155,0.0
901005,RJB8E53,51,-22.965424,-43.391127,1737420808000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],187264.9,271,0.0
901004,RJQ8J80,51,-22.919496,-43.396489,1737420856000,57.8,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],165427.0,185,1.0
902095,,46,-22.87633,-43.329674,1737418876000,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],89743.0, ,0.0
902375,,80,-22.848419,-43.396999,1737419250000,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],28577.8,77,0.0
13409,KPY9733,10,-22.915786,-43.628365,1682554213000,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5, ,
KXM6403 SAVEIRO,KXM6403,0,-23.000579,-43.363437,1737417922000,0.0,,,,18580.8, ,0.0
902090,,0,-22.876374,-43.329834,1737382169000,0.0,,,,88189.0, ,0.0
KRA7040 - GOL,KRA7040,0,-22.956978,-43.390483,1737390196000,0.0,,,,47770.5, ,0.0
902334,,60,-22.850043,-43.398163,1737375300000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],51524.5,116,1.0
LSG7008 ACELLO INFRA,LSG7008,0,-22.964554,-43.391436,1737230583000,0.0,,,,49467.5, ,0.0
KXE9191 PKP,KXE9191,0,-22.971602,-43.400338,1737419967000,0.0,,,,8330.0, ,0.0
901057,,52,-23.001418,-43.365143,1737420753000,11.2,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],200511.2,72,1.0
901003,RKM8C54,22,-23.006593,-43.313006,1737420891000,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],155873.4,269,1.0
902455,,31,-22.83925,-43.240485,1737419468000,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],56019.3, ,0.0
KWB9798 - APOIO VAN,KWB9798,0,-23.00081,-43.364893,1737419547000,0.0,,,,3442.3, ,0.0
901002,,22,-23.00101,-43.364761,1737420272000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],132188.4, ,0.0
902313,,60,-22.852414,-43.247467,1737420879000,0.0,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],69308.7,359,1.0
902103,,40,-22.876865,-43.33008,1737417762000,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],95061.0, ,0.0
901001,RJD7J89,52,-22.965779,-43.391499,1737418821000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],141546.5, ,0.0
901050,,35,-22.930477,-43.373249,1737420879000,34.5,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],160174.1,167,1.0
901077,,35,-22.964512,-43.391493,1737417423000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],137905.1, ,0.0
903045,,17,-22.803912,-43.341275,1737419464000,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],70062.0, ,0.0
902119,,41,-22.876505,-43.329644,1737417773000,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],94082.5, ,0.0
901058,,51,-22.989748,-43.417813,1737420877000,0.0,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],205064.6,227,1.0
902105,,35,-22.876597,-43.329606,1737419016000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],91889.7, ,0.0
901071,,52,-22.973257,-43.396871,1737420873000,56.9,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],196205.8,270,1.0
903027,,38,-22.876922,-43.329616,1731344724000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],177742.4, ,0.0
901066,,53,-22.964573,-43.392195,1737420294000,0.0,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],185538.6, ,0.0
903026,,38,-22.876235,-43.329606,1737417697000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],206694.4, ,0.0
903029,,42,-22.846093,-43.239545,1737420489000,47.5,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],142154.6,45,1.0
902116,,43,-22.876425,-43.329809,1737417659000,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],97544.2, ,0.0
902115,,0,-22.876017,-43.329414,1725089581000,0.0,,,,54751.3, ,0.0
903028,,42,-22.85638,-43.327405,1737420894000,42.6,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],204039.1,261,1.0
901061,,51,-22.964565,-43.392222,1737376579000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],225806.0,356,0.0
903030,,38,-22.839724,-43.239676,1737420881000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],0.0,135,1.0
903057,,17,-22.920533,-43.60797,1687766399000,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],12199.8, ,
901051,,35,-22.964668,-43.391569,1737418272000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],144821.6, ,0.0
901064,,51,-22.964613,-43.391922,1737419062000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],214242.6,58,0.0
902107,,40,-22.87638,-43.33002,1737418345000,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],100057.0, ,0.0
901049,,51,-22.965028,-43.391622,1737419162000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],90717.6, ,0.0
901073,,51,-22.964512,-43.391613,1737419556000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],19897.5, ,0.0
901048,,35,-22.916944,-43.362406,1737420889000,54.4,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],164163.5,52,1.0
901065,,35,-22.87753,-43.33697,1737420885000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],190477.9,305,1.0
903031,,42,-22.839811,-43.239446,1737420887000,1.7,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],150006.6,147,1.0
902092,,35,-22.897993,-43.352386,1737420894000,29.1,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],91421.5,213,1.0
903032,,42,-22.876464,-43.329617,1737419135000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],131133.5, ,0.0
901075,,53,-22.964435,-43.391635,1737418235000,0.0,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],218641.3, ,0.0
903055,,17,-22.907716,-43.563385,1737420893000,18.4,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],56872.8,79,1.0
902112,,41,-22.876411,-43.330326,1737386363000,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],92312.2, ,0.0
903037,,17,-22.920595,-43.607831,1737419766000,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],73577.5, ,0.0
903002,,42,-22.877886,-43.336281,1737420884000,0.0,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],19373.8,30,1.0
901080,,52,-22.972165,-43.386856,1737420888000,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],194317.8,308,1.0
902110,,43,-22.876413,-43.329946,1737392545000,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],90914.7, ,0.0
902114,,46,-22.872769,-43.336216,1737420887000,20.8,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],79099.7,354,1.0
902078,,40,-22.876992,-43.330214,1737420885000,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],94457.0, ,1.0
902111,,41,-22.876197,-43.329707,1737381688000,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],94564.2, ,0.0
902025,,46,-22.876689,-43.329877,1737420891000,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],86357.1, ,1.0
903054,,17,-22.934542,-43.665193,1737420888000,17.5,,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],132490.4,217,1.0
903021,,38,-22.876103,-43.329665,1733324691000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],156790.4, ,0.0
903056,,17,-22.919477,-43.607591,1737419019000,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],135158.6, ,0.0
903000,,38,-22.876229,-43.329339,1737418173000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],153675.6, ,0.0
903058,,17,-22.925828,-43.650004,1737420891000,31.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],64370.9,27,1.0
901072,,51,-22.96439,-43.391782,1737418331000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],170666.4, ,0.0
902045,,40,-22.876856,-43.329837,1737420892000,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],108425.8, ,1.0
903008,,38,-22.876117,-43.329628,1737417364000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],148339.1, ,0.0
903007,,42,-22.876502,-43.329665,1737373759000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],180902.7,81,0.0
903004,,38,-22.876402,-43.329942,1737415272000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],140426.0,289,0.0
903006,,42,-22.838868,-43.240334,1737420896000,27.2,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],154986.8,114,1.0
901046,,51,-22.965494,-43.391708,1737420879000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],42432.2,334,0.0
903005,,38,-22.851455,-43.310834,1737420888000,55.5,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],143859.9,244,1.0
903022,,38,-22.898371,-43.352644,1737420876000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],203641.1,192,1.0
903035,,17,-22.901785,-43.5547,1737420895000,0.0,,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],5679.3,252,1.0
